Wavelength (Angstroms), Normalized intensity, Element
4223.0, 8699, 
4223.002, 8631, 
4223.004, 8558, 
4223.006, 8476, 
4223.008, 8388, 
4223.01, 8295, 
4223.012, 8198, 
4223.014, 8097, 
4223.016, 7998, 
4223.018, 7898, 
4223.02, 7796, 
4223.022, 7693, 
4223.024, 7587, 
4223.026, 7479, 
4223.028, 7370, 
4223.03, 7261, 
4223.032, 7153, 
4223.034, 7046, 
4223.036, 6940, 
4223.038, 6835, 
4223.04, 6729, 
4223.042, 6625, 
4223.044, 6519, 
4223.046, 6414, 
4223.048, 6312, 
4223.05, 6211, 
4223.052, 6112, 
4223.054, 6017, 
4223.056, 5927, 
4223.058, 5840, 
4223.06, 5757, 
4223.062, 5680, 
4223.064, 5611, 
4223.066, 5549, 
4223.068, 5494, 
4223.07, 5445, 
4223.072, 5399, 
4223.074, 5360, 
4223.076, 5327, 
4223.078, 5299, 
4223.08, 5277, 
4223.082, 5262, 
4223.084, 5253, 
4223.086, 5251, 
4223.088, 5256, 
4223.09, 5267, 
4223.092, 5286, 
4223.094, 5311, 
4223.096, 5339, 
4223.098, 5375, 
4223.1, 5416, 
4223.102, 5462, 
4223.104, 5515, 
4223.106, 5579, 
4223.108, 5651, 
4223.11, 5732, 
4223.112, 5817, 
4223.114, 5905, 
4223.116, 5998, 
4223.118, 6094, 
4223.12, 6196, 
4223.122, 6305, 
4223.124, 6420, 
4223.126, 6537, 
4223.128, 6658, 
4223.13, 6778, 
4223.132, 6901, 
4223.134, 7026, 
4223.136, 7151, 
4223.138, 7275, 
4223.14, 7399, 
4223.142, 7521, 
4223.144, 7641, 
4223.146, 7758, 
4223.148, 7871, 
4223.15, 7980, 
4223.152, 8083, 
4223.154, 8184, 
4223.156, 8282, 
4223.158, 8372, 
4223.16, 8456, 
4223.162, 8536, 
4223.164, 8611, 
4223.166, 8681, 
4223.168, 8745, 
4223.17, 8796, 
4223.172, 8843, 
4223.174, 8881, 
4223.176, 8910, 
4223.178, 8933, 
4223.18, 8948, 
4223.182, 8954, 
4223.184, 8951, 
4223.186, 8940, 
4223.188, 8919, 
4223.19, 8892, 
4223.192, 8854, 
4223.194, 8811, 
4223.196, 8754, 
4223.198, 8686, 
4223.2, 8613, 
4223.202, 8529, 
4223.204, 8435, 
4223.206, 8331, 
4223.208, 8221, 
4223.21, 8105, 
4223.212, 7985, 
4223.214, 7863, 
4223.216, 7749, 
4223.218, 7640, 
4223.22, 7538, 
4223.222, 7441, 
4223.224, 7354, 
4223.226, 7278, 
4223.228, 7216, 
4223.23, 7168, 
4223.232, 7137, 
4223.234, 7124, 
4223.236, 7130, 
4223.238, 7154, 
4223.24, 7192, 
4223.242, 7248, 
4223.244, 7320, 
4223.246, 7408, 
4223.248, 7508, 
4223.25, 7614, 
4223.252, 7727, 
4223.254, 7844, 
4223.256, 7961, 
4223.258, 8077, 
4223.26, 8193, 
4223.262, 8305, 
4223.264, 8409, 
4223.266, 8507, 
4223.268, 8599, 
4223.27, 8684, 
4223.272, 8762, 
4223.274, 8831, 
4223.276, 8887, 
4223.278, 8935, 
4223.28, 8975, 
4223.282, 9007, 
4223.284, 9031, 
4223.286, 9047, 
4223.288, 9054, 
4223.29, 9054, 
4223.292, 9046, 
4223.294, 9031, 
4223.296, 9008, 
4223.298, 8978, 
4223.3, 8942, 
4223.302, 8898, 
4223.304, 8847, 
4223.306, 8787, 
4223.308, 8723, 
4223.31, 8656, 
4223.312, 8585, 
4223.314, 8512, 
4223.316, 8437, 
4223.318, 8362, 
4223.32, 8289, 
4223.322, 8224, 
4223.324, 8164, 
4223.326, 8107, 
4223.328, 8054, 
4223.33, 8007, 
4223.332, 7969, 
4223.334, 7941, 
4223.336, 7923, 
4223.338, 7916, 
4223.34, 7919, 
4223.342, 7933, 
4223.344, 7956, 
4223.346, 7989, 
4223.348, 8033, 
4223.35, 8088, 
4223.352, 8149, 
4223.354, 8213, 
4223.356, 8282, 
4223.358, 8351, 
4223.36, 8422, 
4223.362, 8494, 
4223.364, 8563, 
4223.366, 8627, 
4223.368, 8688, 
4223.37, 8748, 
4223.372, 8811, 
4223.374, 8863, 
4223.376, 8909, 
4223.378, 8948, 
4223.38, 8980, 
4223.382, 9007, 
4223.384, 9028, 
4223.386, 9043, 
4223.388, 9051, 
4223.39, 9052, 
4223.392, 9046, 
4223.394, 9033, 
4223.396, 9014, 
4223.398, 8987, 
4223.4, 8955, 
4223.402, 8912, 
4223.404, 8866, 
4223.406, 8806, 
4223.408, 8738, 
4223.41, 8664, 
4223.412, 8577, 
4223.414, 8479, 
4223.416, 8370, 
4223.418, 8251, 
4223.42, 8125, 
4223.422, 7994, 
4223.424, 7859, 
4223.426, 7700, 
4223.428, 7546, 
4223.43, 7385, 
4223.432, 7213, 
4223.434, 7038, 
4223.436, 6860, 
4223.438, 6681, 
4223.44, 6503, 
4223.442, 6322, 
4223.444, 6136, 
